Day,widget_id,Hour Of Day,Visits,Conversions
13.4.2024,281261,18:00 - 18:59,1,0
13.4.2024,281261,22:00 - 22:59,1,0
14.4.2024,281261,08:00 - 08:59,1,0
14.4.2024,281261,14:00 - 14:59,1,0
15.4.2024,281261,08:00 - 08:59,1,0
15.4.2024,281261,11:00 - 11:59,1,0
15.4.2024,281261,12:00 - 12:59,1,0
15.4.2024,281261,13:00 - 13:59,1,0
15.4.2024,281261,16:00 - 16:59,1,0
4.4.2024,281260,10:00 - 10:59,3,0
4.4.2024,281260,11:00 - 11:59,2,0
4.4.2024,281260,09:00 - 09:59,1,0
4.4.2024,281260,12:00 - 12:59,1,0
5.4.2024,281260,13:00 - 13:59,1,0
15.4.2024,281260,20:00 - 20:59,1,0
12.4.2024,281214,13:00 - 13:59,16,0
11.4.2024,281214,13:00 - 13:59,10,0
12.4.2024,281214,14:00 - 14:59,9,0
12.4.2024,281214,12:00 - 12:59,8,0
14.4.2024,281214,17:00 - 17:59,8,0
7.4.2024,281214,22:00 - 22:59,6,0
11.4.2024,281214,12:00 - 12:59,6,0
2.4.2024,281214,13:00 - 13:59,5,0
10.4.2024,281214,21:00 - 21:59,5,0
2.4.2024,281214,16:00 - 16:59,4,0
14.4.2024,281214,18:00 - 18:59,4,0
15.4.2024,281214,17:00 - 17:59,4,0
9.4.2024,281214,13:00 - 13:59,3,0
11.4.2024,281214,21:00 - 21:59,3,0
3.4.2024,281214,12:00 - 12:59,2,0
4.4.2024,281214,12:00 - 12:59,2,0
15.4.2024,281214,18:00 - 18:59,2,0
15.4.2024,281214,20:00 - 20:59,2,0
3.4.2024,281214,20:00 - 20:59,1,0
4.4.2024,281214,13:00 - 13:59,1,0
4.4.2024,281214,18:00 - 18:59,1,1
4.4.2024,281214,20:00 - 20:59,1,0
8.4.2024,281214,22:00 - 22:59,1,0
9.4.2024,281214,12:00 - 12:59,1,0
11.4.2024,281214,14:00 - 14:59,1,0
12.4.2024,281214,11:00 - 11:59,1,0
12.4.2024,281214,15:00 - 15:59,1,0
12.4.2024,281214,19:00 - 19:59,1,0
14.4.2024,281214,11:00 - 11:59,1,0
14.4.2024,281214,14:00 - 14:59,1,0
3.4.2024,281205,20:00 - 20:59,5,0
15.4.2024,281205,21:00 - 21:59,3,0
12.4.2024,281205,13:00 - 13:59,2,0
1.4.2024,281205,10:00 - 10:59,1,0
1.4.2024,281205,11:00 - 11:59,1,0
1.4.2024,281205,15:00 - 15:59,1,0
1.4.2024,281205,17:00 - 17:59,1,0
1.4.2024,281205,18:00 - 18:59,1,0
1.4.2024,281205,20:00 - 20:59,1,0
1.4.2024,281205,22:00 - 22:59,1,0
2.4.2024,281205,17:00 - 17:59,1,0
3.4.2024,281205,08:00 - 08:59,1,0
3.4.2024,281205,12:00 - 12:59,1,0
3.4.2024,281205,13:00 - 13:59,1,0
4.4.2024,281205,07:00 - 07:59,1,0
5.4.2024,281205,08:00 - 08:59,1,0
11.4.2024,281205,10:00 - 10:59,1,0
11.4.2024,281205,14:00 - 14:59,1,0
11.4.2024,281205,19:00 - 19:59,1,0
13.4.2024,281205,22:00 - 22:59,1,0
14.4.2024,281205,08:00 - 08:59,1,0
15.4.2024,281205,23:00 - 23:59,1,0
1.4.2024,281183,20:00 - 20:59,3,0
3.4.2024,281183,12:00 - 12:59,2,0
1.4.2024,281183,07:00 - 07:59,1,0
1.4.2024,281183,08:00 - 08:59,1,0
1.4.2024,281183,15:00 - 15:59,1,0
2.4.2024,281183,01:00 - 01:59,1,0
